pid,imFeas_1,imFeas_2,imFeas_3,imFeas_4,imFeas_5,imFeas_6,imFeas_7,imFeas_8,imFeas_9,imFeas_10,imFeas_11,imFeas_12,imFeas_13,imFeas_14,imFeas_15,imFeas_16,imFeas_17,imFeas_18,imFeas_19,imFeas_20,imFeas_21,imFeas_22,imFeas_23,imFeas_24,imFeas_25,imFeas_26,imFeas_27,imFeas_28,imFeas_29,imFeas_30,imFeas_31,imFeas_32,imFeas_33,imFeas_34,imFeas_35,imFeas_36,imFeas_37,imFeas_38,imFeas_39,imFeas_40,imFeas_41,imFeas_42,imFeas_43,imFeas_44,imFeas_45,imFeas_46,imFeas_47,imFeas_48,imFeas_49,imFeas_50,imFeas_51,imFeas_52,imFeas_53,imFeas_54,imFeas_55,imFeas_56,imFeas_57,imFeas_58,imFeas_59,imFeas_60,imFeas_61,imFeas_62,imFeas_63,imFeas_64,imFeas_65,imFeas_66,imFeas_67,imFeas_68,imFeas_69,imFeas_70,imFeas_71,imFeas_72,imFeas_73,imFeas_74,imFeas_75,imFeas_76,imFeas_77,imFeas_78,imFeas_79,imFeas_80,imFeas_81,imFeas_82,imFeas_83,imFeas_84,imFeas_85,imFeas_86,imFeas_87,imFeas_88,imFeas_89,imFeas_90,imFeas_91,imFeas_92,imFeas_93,imFeas_94,imFeas_95,imFeas_96,imFeas_97,imFeas_98,imFeas_99,imFeas_100,imFeas_101,imFeas_102,imFeas_103,imFeas_104,imFeas_105,imFeas_106,imFeas_107,imFeas_108,imFeas_109,imFeas_110,imFeas_111,imFeas_112,imFeas_113,imFeas_114,imFeas_115,imFeas_116,imFeas_117,imFeas_118,imFeas_119,imFeas_120,imFeas_121,imFeas_122,imFeas_123,imFeas_124,imFeas_125,imFeas_126,imFeas_127,imFeas_128,imFeas_129,imFeas_130,imFeas_131,imFeas_132,imFeas_133,imFeas_134,imFeas_135,imFeas_136,imFeas_137,imFeas_138,imFeas_139,imFeas_140,imFeas_141,imFeas_142,imFeas_143,imFeas_144,imFeas_145,imFeas_146,imFeas_147,imFeas_148,imFeas_149,imFeas_150
709990 A2,0.137731013085121,0.114672422321148,0.110319708619992,0.125850982508206,0.13497009757633,0.125131525698098,0.0979630379063807,0.0728809748639777,0.0479428031835964,0.0325374342371509,0.101803138630334,0.122325644138675,0.134124735824453,0.171698367732362,0.166410360178066,0.127595665272719,0.0813255991726247,0.0545887854669724,0.0310805341966815,0.00904716938711273,0.0977382076532218,0.108107378928909,0.107504833850443,0.11143486667566,0.129439273348622,0.141427222447052,0.133585143216871,0.0987724268177526,0.0538603354467377,0.0181303116147309,0.172255946760196,0.223328387067764,0.206034443994784,0.163082872431314,0.106461621475786,0.066522775304645,0.0372858491838662,0.016610459103377,0.00672692117451324,0.00169072350375467,7.19456810108368e-05,1.79864202527092e-05,0.000287782724043347,0.00150186609110122,0.00832771257700436,0.0480956877557444,0.208705427402311,0.424155762399388,0.28923063087369,0.019605198075453,5.39592607581276e-05,1.79864202527092e-05,0.000440667296191376,0.00675390080489231,0.0206753900804892,0.0699042223121543,0.247897837132965,0.435595125680111,0.199208597508881,0.019452313503305,0,3.59728405054184e-05,0.000107918521516255,0.00138495435945861,0.00664598228337605,0.0114213768604703,0.027923917442331,0.14217365888754,0.438625837492693,0.371680381312109,0.216970187508431,0.383803228562435,0.259319213993435,0.0947884347317775,0.0233104006475111,0.0102162867035388,0.00573766806061424,0.00378614146319529,0.00172669634426008,0.000341741984801475,0.350069697378479,0.415855029452763,0.170835019560232,0.0339493682269886,0.0120419083591888,0.0070326903188093,0.00399298529610144,0.00254507846575835,0.00230226179234678,0.00137596114933225,0.0957327217950447,0.223202482125995,0.285588380772517,0.221179009847565,0.115247987769234,0.0439498178874949,0.0118800305769144,0.00250910562525293,0.000629524708844822,8.09388911371914e-05,27.9948732434844,7.34172142472335,4.83605263616523,1.54924701248281,147.664899376441,111.527119817654,161.26820449584,NaN,NaN,NaN,14.890501380387,2.52190998250866,1.42315085047748,0.431805771579334,21.6164988446931,24.7223951649049,17.6340622616845,NaN,NaN,NaN,0.609045191409667,0.930371790829926,0.198566677269915,2.40160942593936,1.4903102685739,2.88227810540974,1.5627964574267,10.8530658538507,9.41499146592591,29.700996137439,2.69013506278294,4.45123424602653,2.36872047094225,15.4826110884882,8.99989403955302,17.246802902343,11.8074812404741,224.655770974703,113.085772619326,2146.68751245318,3.21914613930346,3.08158208947666,3.20415616033879,2.75970369622444,1.91227571851085,2.03400218247908,1.73334613969602,2.12261981455564,1.87179400610598,2.46756135437112
724126 X1,0.204807173932122,0.20226833916325,0.189553791953461,0.155743408432693,0.100128822356791,0.0624459322225148,0.0382470756384699,0.0234074296962174,0.0146124045586189,0.00878562204586201,0.161523175486767,0.202320056167801,0.212688531989318,0.156517596319003,0.0966465440503504,0.063702812151302,0.0472646406138338,0.0339451611689924,0.0190710372237058,0.00632044482892642,0.143359536615639,0.185792555258836,0.17930755632452,0.162345946013716,0.13495787414902,0.0927677687090182,0.0542103910432417,0.0280556913779917,0.0130420882386129,0.00616059226940485,0.171711425383333,0.209466405887589,0.190102305638094,0.154403467860232,0.113785245922193,0.0777572999335515,0.0479933802234175,0.0246345331678389,0.00880912977520342,0.00133680620854804,0.0136438861097529,0.114423088978323,0.190845149885282,0.254258033374707,0.236979852308772,0.151924186005692,0.0335925452288712,0.00322996201150938,0.000120673010619225,0.000982623086470832,0.0230626496658768,0.156346773485789,0.227852584596482,0.277414713957949,0.217767768709018,0.0834320657965672,0.0122381238951367,0.000869785985632076,3.29108210779704e-05,0.000982623086470832,0.00014731510387282,0.00406997153997568,0.0703962462857788,0.190619475683605,0.273366682965359,0.266193691152318,0.160488835395745,0.0324155915798448,0.00130546256942616,0.000996727724075676,0.568043906169682,0.294266621531826,0.0824651145296574,0.0282750968518449,0.013662692293226,0.00706642344002708,0.0034807111244844,0.00206084427226339,0.000633141510261907,4.54482767267211e-05,0.679495618159251,0.223564774764609,0.0564013114178609,0.0216083048106217,0.00888278732713983,0.00420161482428756,0.00252002858539888,0.0016251676884693,0.00104687754667068,0.000653514875691127,0.271681962362558,0.3433930743095,0.232649728564085,0.102910570328857,0.0330487330901067,0.0103120572710974,0.00397750780456614,0.00160949586890836,0.000415303218364865,1.56718195609383e-06,20.4729807103472,6.41091991406182,4.1081844130626,1.58505229860955,87.7155190606969,56.9082599376981,111.272193909523,10.3391586484897,16.2645798527516,5.92553506892504,11.326258403226,2.34230731945753,1.1587286558126,0.46024915277347,19.1965063522075,15.6736933813165,16.0011442667805,5.85135371255458,19.6601196215801,1.7543624647471,1.36937525229849,1.49193184457344,0.786094059293517,1.88685006224991,0.455882169761016,1.66199204811477,0.310928167016825,8.4398814003318,11.5908209056932,4.19519850627581,5.14007648052758,6.20220373989452,3.75693016035896,9.16383363181517,6.46033331177164,21.3849984903471,6.88058060598881,124.919982709669,179.062164049411,101.340452371634,2.84579002928131,2.89276608905877,2.93095066912183,2.83844671470649,2.50858315427833,2.41812552385376,2.38570348084631,1.61444657978718,1.36326723389736,2.14931960719277
724875 A2,0.105845903357961,0.10369062365478,0.107758128420701,0.114089262548794,0.101511916998304,0.101872106405222,0.106914758102065,0.104408074099453,0.0910781376743478,0.0628310887383707,0.0892361934714938,0.118815650376149,0.13435357714935,0.13022750500019,0.154202063328912,0.170876197336941,0.122678169300735,0.0525495846108344,0.021886631116265,0.00517442830913036,0.0656013259655565,0.0905188191644191,0.0945160430704536,0.105257301156413,0.116748221747826,0.113895990184107,0.10997197550712,0.120493605905935,0.115972203919915,0.0670245133782545,0.268639801807975,0.253371284997672,0.181878080278312,0.123580107002609,0.0801406788545391,0.048212669882016,0.0264256033172566,0.0124572824148503,0.00446283460278137,0.000831656841988128,0.0195146520951017,0.0572906142839991,0.133106091886368,0.203714929118824,0.239063273272482,0.221162152585604,0.121758661383889,0.00438376863540925,5.85673832386006e-06,0,0.0176229256164949,0.0660376529706841,0.151566531083174,0.238506883131715,0.253002310483269,0.2048013540779,0.0671914304204845,0.0012679838471157,2.92836916193003e-06,0,0.00574253192654479,0.00358725222336429,0.0207562806197601,0.0667258197237377,0.154486115137619,0.213255555848392,0.265061334692097,0.222599981844111,0.0477177754936498,6.73524907243907e-05,0.0970197987039038,0.243259626281528,0.298257327511735,0.22408466500921,0.0983873471025251,0.0226304368833953,0.00843077481719656,0.00549362054778074,0.002301698161277,0.000134704981448781,0.179532456579606,0.358974133715193,0.304313194938607,0.114557801614703,0.0207240685589788,0.00900180680377291,0.00533256024387458,0.00348475930269674,0.00253596769423141,0.00154325054833713,0.0748139753489884,0.136388793716891,0.191424563746204,0.219528122593247,0.184701028150413,0.119828866106177,0.0563476794138576,0.0158249069510699,0.00113913560399078,2.92836916193003e-06,31.7743370030243,7.48929988161701,5.28252597222324,1.45661292516062,95.1351492513873,64.959446565504,124.508013664988,15.9812288378385,26.1541617660594,8.36576556274808,16.7739314258896,2.3948386708307,1.61877117739653,0.392229185428727,20.6200550878951,16.1597819905351,18.7655709697059,8.81862694199441,28.1785892015926,2.99990880221596,0.380769587357901,0.557800361916181,0.143779671258709,2.31309974949218,-0.499889939148414,-0.263189831300194,-1.32390661375077,5.57050374739578,8.13836887743165,2.48442096840407,2.08371351024872,3.58565145766014,2.10296655528888,12.5877125955187,3.33454278266557,2.88849586076189,7.63085742937783,54.7073498953214,87.553494063053,50.3131174602096,3.30718946986489,3.0544331121405,3.29369179062742,2.59467550800683,2.58135934847871,2.51152904498419,2.54081559078247,2.40082659393239,2.13788359516598,2.76517792337541
724875A22,0.122385093627904,0.124540394357849,0.127170681559279,0.119772006493687,0.103791820971116,0.098113152626781,0.0959724057998627,0.0874239723952152,0.0714649561861365,0.0493655159821701,0.101401011628569,0.136760380571333,0.143060897499507,0.136350225122418,0.149880062608245,0.147846485430882,0.103070741230281,0.0503459198132867,0.0245180342704724,0.00676624182500652,0.0807013922792868,0.112566501413713,0.115408481750067,0.120176869614229,0.119532528634804,0.107114080107328,0.100928671321269,0.102594431676702,0.0917755893999955,0.0492014538026041,0.24391812238774,0.236723201964512,0.178627990330916,0.129824784238388,0.0897473045510055,0.0586707523441707,0.0350484446508453,0.0183365947306933,0.00757729114818387,0.00152551365354566,0.040698005189128,0.0981991529628439,0.176374781526069,0.212735723613443,0.206558253319944,0.166341850012768,0.0923034991552121,0.00675433408616704,3.44001344251407e-05,0,0.0384130424140427,0.111095234125992,0.211421903094821,0.247184812076035,0.207701396248533,0.139635437960019,0.0428069980458077,0.00172132980335031,1.98462313991196e-05,0,0.0158597850520831,0.0112250284793421,0.0402772650834666,0.115491835921943,0.204013966454577,0.226358176845799,0.213034740166523,0.145208259736892,0.0284621419905241,6.88002688502814e-05,0.114611986329916,0.257877961553881,0.291280492080692,0.206542376334824,0.0891492714448453,0.0235786459842474,0.00914382034662105,0.00555826787384677,0.00210237744621341,0.000154800604913133,0.198761330544276,0.361518951166363,0.287517646607419,0.10707438764453,0.0224791647647362,0.00949179093715228,0.00560589882920466,0.00378533786885875,0.002389486260454,0.00137600537700563,0.087977020710204,0.15608002529733,0.203324640683981,0.213241140973074,0.169194415005868,0.104655793578024,0.0495825014454672,0.0144983335781035,0.00144215948166936,3.96924627982392e-06,29.3743422308107,7.31878141815588,5.01030932205238,1.50549249771688,89.3223227998522,59.5909173264194,117.33902139744,15.7001863403809,25.8474495833876,8.12550550379378,16.2412092783808,2.46722945913141,1.58792090437819,0.442731315421138,22.9318701044434,17.1012524023022,22.1001973258271,8.87966991464809,27.8731595861598,2.99761099486054,0.575071197234703,0.778301251149524,0.328859119093901,2.30366619655565,-0.379876064602638,-0.112192343105051,-1.42489867776033,5.53491218538905,7.88484306103453,3.12580044658688,2.33391831805322,4.05759473961029,2.22301225963473,12.348747558753,3.23831087083449,2.92346196398256,7.35572847535069,56.1242492727885,83.4480923491515,94.5422704436069,3.27623683222707,3.07368475778795,3.28712373137223,2.70990348128963,2.7002446404935,2.58345282337274,2.69341339658729,2.41334067068669,2.14924541709872,2.7610320809391
727080 A1,0.155060358685032,0.110145932486526,0.0929429192801084,0.0928609701516059,0.100538973114382,0.101913196961578,0.094254105336149,0.0897469032685095,0.0841113247391811,0.0784253159769282,0.119034261039493,0.109824439751631,0.106313234784253,0.12046521889873,0.130412582343115,0.13775018123365,0.136892867273931,0.0865004570239859,0.0403126674441328,0.0124940902070791,0.104598606864815,0.122740883159454,0.101516058877297,0.0947142812115863,0.0986667507170549,0.108645633057018,0.111639928136918,0.105342452800454,0.0909887477542787,0.061146657421124,0.165114886374381,0.21032559019132,0.195139786301888,0.160462697387084,0.115554574967693,0.0765593973587165,0.0430737226967567,0.022756642607243,0.00906483436820374,0.00194786774671416,7.56453493869575e-05,0.00100860465849277,0.00402811485485549,0.0118384971790588,0.0303463926624011,0.0861852680682069,0.227642071421817,0.379569451886406,0.259305953919375,0,9.45566867336969e-05,0.00134900873073408,0.00578686922810225,0.0181296687364075,0.0519179247959152,0.131105998045828,0.26414725628014,0.366255870394301,0.161212847101838,0,0,6.30377911557979e-05,0.000428656979859426,0.00327796514010149,0.0119456614240237,0.0333217764049548,0.0860718000441265,0.213250543700949,0.410993790777571,0.240646767737258,0.0436851892709679,0.170428972168815,0.295691366974501,0.293989346613295,0.151082674063101,0.0269549594982192,0.00929177041636461,0.00649289248904718,0.00229457559807104,8.82529076181171e-05,0.0992025719418792,0.292621426545214,0.383149998424055,0.178453682982948,0.0223658083020771,0.00999148989819397,0.00572383143694645,0.00419201311186056,0.00281778926466417,0.00148138809216125,0.0758218552021937,0.115163740662527,0.153093579600971,0.207079143946796,0.211384625082737,0.147262583919059,0.0700728086487849,0.0192139187442872,0.00090774419264349,0,30.9149227764428,7.76403115457232,5.03065000694621,1.58370498284673,141.165360433776,103.332139011817,153.794916149398,17.4943352728562,29.0039844462008,8.71760243580928,17.7736974852284,2.81418672668,1.68348171900408,0.461679667981941,19.9590505729698,18.4191640477918,15.2972847461062,8.8137715530244,28.6884130035808,3.06751216231583,0.441849656085531,0.599874454377412,0.283280032971851,2.17817767104629,-0.592296628760907,-0.380606116816349,-0.758280511081409,5.07467683463375,7.71707429068669,1.21206042853106,2.07847763278139,3.43112244093817,2.14007594699889,12.1431049439802,3.41076776981312,2.99658252582961,3.81202737257174,44.2989887760032,78.8004921880901,6.37198894522144,3.29516129906952,3.16820899533415,3.3031344879472,2.82798894933552,2.09815981451508,2.2304090680369,2.07427741664453,2.35506020252319,2.12602067785186,2.79455079752466
735048 A5,0.0833910424685552,0.0827790572206207,0.0924500346254811,0.114090960333693,0.138006699627977,0.159236951025075,0.140712318618846,0.0931022820607798,0.0580902839289453,0.0381403700900263,0.0680149131141997,0.0856135152110544,0.113358188523666,0.160859517175849,0.199458876201826,0.164801185318796,0.106316331953682,0.0607596669511861,0.0324754803278953,0.00834232522184465,0.053713784162466,0.0758298036815744,0.0854605188990707,0.105756687549321,0.135280949543427,0.162409611389368,0.167599407340602,0.128404167941636,0.0652770843734398,0.0202679851190956,0.181405311387757,0.224224147649493,0.203694458312531,0.159885172241638,0.108969610100978,0.0664849499943633,0.0352696761309648,0.0148285636062036,0.00462209910940042,0.000616011466670961,0.00107097418388546,0.00440468329763419,0.021045045335223,0.110463337252186,0.311238786980819,0.338685520106936,0.187424508398692,0.02561480360105,5.23408435733497e-05,0,0.000946161403056705,0.00474691189022917,0.0229494467975456,0.0891082730742596,0.230943906720564,0.344583930555779,0.241122187686213,0.0639162224405327,0.00168295943182001,0,0.000410674311113974,0.000169101186929284,0.000913951653165413,0.00502472098304157,0.0219992591757525,0.082742821251993,0.286054788784565,0.398535261623694,0.193000821348622,0.0111485996811235,0.503655806612662,0.353924758024254,0.0975190440146232,0.025800009662925,0.00924419821880083,0.00463015154687324,0.00280627445927882,0.00192855877474111,0.00047912002963297,1.20786562092345e-05,0.656813167345756,0.253377997519849,0.0597732433607653,0.0147238819190569,0.00634532072858454,0.003708147456235,0.00211376483661604,0.00148970093247226,0.00105889552767623,0.000595880372988904,0.0839144509042887,0.292299454044739,0.385063533731661,0.188563928301097,0.0396139661475529,0.00775449728632857,0.00238352149195562,0.00039859565490474,8.05243747282302e-06,0,31.4041632775021,7.75861521088231,5.15193822146186,1.53307972802688,107.037652379993,81.2278682662777,139.558686625531,10.5427795169114,16.1538289260262,6.54649450094237,14.5699622590769,2.40607658694109,1.34686021983984,0.400074961690794,14.7746727902404,14.6543592606053,12.5808646512585,5.13592869077379,18.7314820550383,1.33656745895098,0.343048452624747,0.715822932589368,-0.0202187601995445,1.86711837106889,-0.161302507114312,-0.0755200848110167,-0.731696121798498,8.86283383476547,12.3813327247284,1.20775564810236,2.53106097124937,4.14661484839324,2.50986040520833,9.51729653918892,3.71450194926989,3.25347345233516,6.17515454931523,122.049886603632,198.20294415337,10.0042533909364,3.22293322160938,3.04752435798955,3.15424635228314,2.73206385219582,2.15539298128985,2.26383422967548,2.04878278900204,1.63736545988008,1.35860183807349,2.06697105682209
737445 A1,0.131811818497065,0.106394729068468,0.0996647872490721,0.105071858825343,0.112790742476978,0.10617639126135,0.0988941832239504,0.0925238566162777,0.0800657582101437,0.0666058745713515,0.103851735785567,0.106022270456326,0.112443970665673,0.130707286061058,0.131709071293716,0.137000552266218,0.130450418052684,0.0900836105367257,0.0443097314444972,0.0134213534375361,0.0863847112161416,0.113497129500006,0.106523163072655,0.105508534439578,0.116476798397144,0.121704062367552,0.120663746933638,0.107229550095683,0.0797703600005137,0.0422419439770874,0.157408715531524,0.203824764644687,0.193768382116849,0.159681997405633,0.117427210028127,0.0812088208474076,0.0489975725973209,0.0258666084432514,0.00974814091778939,0.00206778746740987,0.0019907270648977,0.00875919908554989,0.0495113086140687,0.151898896751904,0.261388885321278,0.251165538587997,0.201217554359692,0.0722826575564146,0.00178523265819858,0,0.00105315883433298,0.00584374719050616,0.0311324026149163,0.112932019881584,0.236549748911522,0.297247659290274,0.227430934614248,0.0841628029437074,0.00364752571890934,0,0,0.000295398209629982,0.00206778746740987,0.00803996866210298,0.0334699014911188,0.112996236883677,0.273307560909826,0.340838160311324,0.209052028615096,0.0199329574498144,0.0867957000295398,0.283235509433478,0.330807464584323,0.205943925713772,0.0654756553345064,0.0145515726743813,0.00665288141688393,0.00497039596203491,0.00152836464982469,3.85302012560846e-05,0.186601764683218,0.392712654602433,0.30672608879927,0.0796676127971642,0.0153093332990843,0.00757760624702996,0.00484196195784796,0.00315947650299893,0.00232465547578377,0.00107884563517037,0.0744788790280115,0.131208178677387,0.208602509600442,0.249277558726448,0.194474769139877,0.0992923286369299,0.0350624831430369,0.00726936463698129,0.000333928410886066,0,30.8821910888475,7.84376458537883,4.99883377385433,1.60291227886676,107.120741721283,80.8120885540242,138.924506927639,15.1840425801727,24.6980521502571,8.04608045444056,16.9968938864957,2.81386154295696,1.56069033058052,0.472467334783481,18.9997068990718,16.0932454531155,14.220559327336,7.76023476034539,25.7692840656345,2.49250628770354,0.451574576253223,0.637973356810292,0.269159604573948,1.99439350382074,0.0251293849539985,0.0469576411227198,-0.422049976742853,5.89358201762046,8.61003591741292,1.29621926138613,2.17961291320301,3.4780674344978,2.28372864553086,10.0289145928978,2.79234369835951,2.85700637505608,3.59700174531044,57.2472117988931,97.2134760249278,8.18451578701829,3.30079488115262,3.17770322425661,3.27647723111173,2.85914290120293,2.46774154927934,2.39313871240596,2.22271770379119,2.26628423064863,2.03536842644825,2.6500682035165
742296 C1,0.162644132368736,0.131781060652117,0.12274302389203,0.130281476077573,0.121506879850852,0.102377044197216,0.0819300058767504,0.0621719658743186,0.0492633797393965,0.0353010314710114,0.120817881532819,0.126613573266865,0.13409123148317,0.138893955052992,0.12436419640505,0.111698786147081,0.0963787058990415,0.0754250511682574,0.0507832289703528,0.0209333900743713,0.124161549840922,0.148195432346445,0.142278152673921,0.137779398950291,0.131031268364845,0.112732283624131,0.085861349220824,0.058970150161104,0.038989198938132,0.0200012158793848,0.1253976938821,0.17004073195939,0.175167690031816,0.153504772326585,0.126106956856546,0.0992765517660648,0.0701765051573551,0.0454941536466249,0.0265264352442904,0.00830850912922771,2.02646564127505e-05,0.000101323282063753,0.000668733661620767,0.00336393296451659,0.0163738423815024,0.0830040326666261,0.232800372869678,0.381684803534156,0.281982693983424,0,2.02646564127505e-05,0.000182381907714755,0.00214805357975156,0.018035544207348,0.0995399922994306,0.262690741078485,0.353253490587067,0.220540255739964,0.0435892759438264,0,0,0,4.0529312825501e-05,0.000243175876953006,0.00186434838997305,0.0129693801041603,0.0786066022250593,0.264372707560743,0.418039597138631,0.223863659391655,0.0629825521308286,0.189819036618234,0.300018238190772,0.278233732547065,0.128133422497822,0.0237501773157436,0.00909883072932498,0.0058970150161104,0.00202646564127505,4.0529312825501e-05,0.115042454455185,0.322390418870448,0.367499544045231,0.150991954931404,0.0204065090076398,0.0104565627089793,0.00567410379557015,0.00358684418505684,0.00237096480029181,0.00158064320019454,0.0799643342047136,0.148722313413176,0.188420775325754,0.197560135367905,0.173161489046953,0.127099925020771,0.0661641031876305,0.0181773968022372,0.000729527630859019,0,26.6761953829108,7.62251962673179,4.48621883593751,1.74020487502544,143.101857835207,93.8110534275985,154.577229055547,16.8873927487027,27.8922581685211,8.41552186711207,15.2351941783174,3.00905704414023,1.39865645925822,0.618591878575252,18.2095371245961,15.6362119931183,13.214518753988,8.59300042801765,27.655780253963,3.07228647572012,0.770252473065203,1.00363677553631,0.626845887298376,2.12319596309202,-0.334700065640035,0.183097849631402,-0.175345504908733,5.22922899179612,7.90615507758026,1.328782342496,2.83364937464074,4.24914827710891,2.94300993332575,10.335542646942,2.79044925376124,2.82884882861742,2.93952949583728,48.1567075886102,83.3609089876055,6.22494620475127,3.20123963063322,3.19901930887872,3.15563156454105,3.04117284921412,1.96642805700239,2.17234578720295,1.90697064370236,2.37295935530478,2.11820275403553,2.80447117832836
743306 B1,0.216868191069077,0.150484855740453,0.158565784747995,0.149048246139112,0.112893571172034,0.081407877409314,0.0542320124506165,0.0347180653657369,0.025260385490243,0.0165210104154196,0.178079731832874,0.191607805578834,0.186160660840417,0.159104513348498,0.110319645636298,0.0708727403328146,0.0511193583143781,0.032383574763558,0.0165210104154196,0.00383095893690889,0.13719621692805,0.154016521010415,0.123428708248533,0.135759607326709,0.160301688016282,0.115587214174548,0.0844606728121633,0.0495031725128696,0.0290913444271519,0.0106548545432779,0.240572249491201,0.229258948880642,0.189033880043098,0.144738417335089,0.0958936908895008,0.0590805698551419,0.0275948760924219,0.0104752783431103,0.00299293666946007,0.000359152400335209,0.0173590326828684,0.130492038788459,0.291871184005746,0.231533580749431,0.107027415299892,0.0299892254279899,0.0826649108104873,0.107266850233449,0.00179576200167604,0,0.0285526158266491,0.234287082485335,0.472045971507243,0.207709804860529,0.05022147731354,0.00706333053992578,0.000119717466778403,0,0,0,0.000179576200167604,0.095354962288998,0.164551658086915,0.277983957859452,0.283850113731593,0.1319286483898,0.0421405483059978,0.0038908176702981,0.000119717466778403,0,0.382856458757333,0.339219442116605,0.156710164012929,0.066263617861846,0.0322039985633904,0.0121513228780079,0.00634502573925536,0.00311265413623848,0.00101759846761643,0.000119717466778403,0.512151322878008,0.302945049682749,0.111935831437807,0.0435172991739495,0.0146055309469652,0.00586615587214175,0.00460912247096851,0.00197533820184365,0.00167604453489764,0.000718304800670418,0.212079492397941,0.276307913324554,0.240751825691368,0.152340476475518,0.0710523165329822,0.0291512031605411,0.0123907578115647,0.00508799233808213,0.000838022267448821,0,22.4605411060846,6.40012323969765,4.39055134634397,1.48052118849041,89.064188576539,48.001206817777,97.7462539908818,12.0135694202893,19.3897415269794,6.53168290600021,13.10000477597,2.28004202181966,1.31737046139749,0.375631911261418,27.05371183662,9.90370823503211,17.7548556185418,7.38113387152905,22.9829765982696,2.30288147058593,1.12532304203687,1.2454935318482,0.526131011407231,1.76471879206577,0.822633742951706,0.260559909886777,-0.360621817747181,6.96451350658785,9.37939196466238,2.8279015640935,4.00983378274801,5.1430401359241,2.89861164487979,8.46094571751301,2.68528957432833,3.53492564596918,2.73332855309951,88.6191270655363,119.795007372841,22.7039601863893,2.99804717754795,2.90309585921875,3.08975712399006,2.64604709476611,2.6480825891292,1.88793931447745,2.39379799400545,2.05872281723128,1.77579283734494,2.44092743068168
745008 A1,0.272581507215393,0.166120155430685,0.111307726754012,0.0994987504875265,0.092666156268508,0.0804238230748119,0.0642379418435004,0.0486009793866555,0.0369797911219611,0.0275831684169471,0.202774928857238,0.167976367602236,0.130411544628541,0.120596010227223,0.110123217819637,0.0905138168633626,0.0737212359339564,0.0555852485301978,0.0351813598740376,0.0131162696635706,0.192627154145059,0.198845826050529,0.131003799095729,0.105897987779335,0.0978592167795802,0.0909977320987476,0.0763574905744868,0.0567553122336661,0.0340329640169298,0.0156225172259379,0.132968350499083,0.184920623456166,0.188958065494677,0.167384113135048,0.132679445880942,0.0935689832001965,0.0567047539254915,0.0295188293584873,0.0113033931847401,0.00199344186516821,0.0463980816733355,0.153198896384359,0.197596313577073,0.177098530920017,0.253029887182747,0.145846273852688,0.0233579383766449,0.00160342063067878,0.00186343478700507,7.22261545350802e-06,0.0585970791743106,0.276098920941251,0.333078134253976,0.189940341196354,0.0995493087957011,0.035073020642235,0.00573475667008537,0.00124951247345689,0.000678925852629754,0,0.00467303219841969,0.0973753015441952,0.164119490950063,0.193710546463085,0.218722463778584,0.172584396261574,0.106865818250105,0.0376948300518584,0.00408800034668554,0.000166120155430685,0.119093706212894,0.305617750299739,0.315960535629162,0.175986248140177,0.0555780259147442,0.0151458246060063,0.00672425498721597,0.00429023357938377,0.00156008493795773,4.33356927210481e-05,0.208683028298207,0.411161829921851,0.275882242477646,0.0717061262224277,0.015283054299623,0.00699871437444928,0.00444190850390744,0.00282404264232164,0.00200066448062172,0.00101838877894463,0.12334782671501,0.194678376933855,0.213652187730221,0.198542476201482,0.147355800482471,0.0820850246291187,0.0316856139945397,0.0077426437661606,0.000910049547142011,0,23.0131873743915,6.87344066613896,4.22673368171241,1.64561410279578,84.5043196397347,48.9299628500853,101.727376384422,14.6722567863518,23.8546640036756,7.56894244139027,15.0884255772582,2.85558038154755,1.43619739133142,0.482349787577096,21.2358386663387,14.212259244924,22.2266335278344,7.62929557519588,24.6274066020348,2.68312481202175,1.051340935219,1.11886270501666,0.792496355911383,1.83016370767752,-0.105420869974977,0.60999752759663,-0.266601845796773,5.82258618804641,8.83524770523685,2.01492850921063,3.30951072707349,4.31959285707622,2.9565113654407,9.38814286813558,3.13776112121386,4.36789353247889,2.60514010673914,56.9901036484593,102.650553810155,17.9026955276063,3.02086207253845,3.07556734885824,3.06905504684264,2.90542090972705,2.58995665953175,2.29870518690759,2.72460596057708,2.27527325414423,2.01308943890678,2.69527793396842
